"gene_id","gene_name","gene_type","Individuals","Tissue","Residual","n.isoforms"
"ENSG00000134824.9","FADS2","protein_coding",0.101239945,0.108498762,0.790261293,15
"ENSG00000134825.8","C11orf10","protein_coding",0.106752909,0.100941977,0.792305114,7
"ENSG00000134851.7","TMEM165","protein_coding",0.096159751,0.15453143,0.749308819,12
"ENSG00000134852.10","CLOCK","protein_coding",0.100258502,0.166585241,0.733156257,11
"ENSG00000134853.7","PDGFRA","protein_coding",0.09639683,0.195924725,0.707678445,10
"ENSG00000134864.5","A2LD1","protein_coding",0.091630179,0.086496533,0.821873288,6
"ENSG00000134871.12","COL4A2","protein_coding",0.091360596,0.293099584,0.61553982,10
"ENSG00000134882.11","UBAC2","protein_coding",0.096823322,0.256495481,0.646681196,11
"ENSG00000134884.8","ARGLU1","protein_coding",0.084809451,0.305042385,0.610148164,5
"ENSG00000134897.9","BIVM","protein_coding",0.092735469,0.127259752,0.780004779,7
"ENSG00000134899.12","ERCC5","protein_coding",0.101717862,0.096135574,0.802146564,9
"ENSG00000134900.7","TPP2","protein_coding",0.106790238,0.100289422,0.792920341,8
"ENSG00000134905.10","CARS2","protein_coding",0.097511364,0.092423604,0.810065032,34
"ENSG00000134909.12","ARHGAP32","protein_coding",0.089985766,0.15345351,0.756560724,10
"ENSG00000134910.7","STT3A","protein_coding",0.106746317,0.130315458,0.762938224,16
"ENSG00000134954.9","ETS1","protein_coding",0.111551451,0.083272348,0.805176201,9
"ENSG00000134955.7","SLC37A2","protein_coding",0.083192478,0.128369114,0.788438407,7
"ENSG00000134970.13","TMED7","protein_coding",0.148109857,0.06032008,0.791570062,3
"ENSG00000134982.11","APC","protein_coding",0.086450174,0.145674625,0.767875201,13
"ENSG00000134986.9","NREP","protein_coding",0.103422378,0.114050272,0.78252735,23
"ENSG00000134987.7","WDR36","protein_coding",0.08070211,0.363035597,0.556262293,5
"ENSG00000135002.7","RFK","protein_coding",0.103065443,0.118203386,0.778731171,6
"ENSG00000135018.9","UBQLN1","protein_coding",0.080406415,0.366609994,0.552983591,6
"ENSG00000135040.11","NAA35","protein_coding",0.108570464,0.115404912,0.776024623,3
"ENSG00000135046.9","ANXA1","protein_coding",0.113053273,0.198540366,0.688406361,8
"ENSG00000135047.9","CTSL1","protein_coding",0.099797846,0.101819084,0.79838307,7
"ENSG00000135048.9","TMEM2","protein_coding",0.102185097,0.127937931,0.769876972,13
"ENSG00000135049.11","AGTPBP1","protein_coding",0.089167512,0.092558918,0.81827357,9
"ENSG00000135052.11","GOLM1","protein_coding",0.099486548,0.093428019,0.807085433,8
"ENSG00000135069.8","PSAT1","protein_coding",0.120246947,0.155352254,0.724400799,3
"ENSG00000135070.9","ISCA1","protein_coding",0.094498708,0.231196423,0.674304869,4
"ENSG00000135074.11","ADAM19","protein_coding",0.082242495,0.10025127,0.817506236,7
"ENSG00000135077.4","HAVCR2","protein_coding",0.096348808,0.119056347,0.784594845,6
"ENSG00000135090.8","TAOK3","protein_coding",0.106975186,0.133322451,0.759702363,20
"ENSG00000135093.7","USP30","protein_coding",0.089297316,0.078727038,0.831975646,10
"ENSG00000135100.9","HNF1A","protein_coding",0.103329562,0.055660466,0.841009972,22
"ENSG00000135108.9","FBXO21","protein_coding",0.121325959,0.151588423,0.727085619,9
"ENSG00000135124.9","P2RX4","protein_coding",0.095400494,0.066074787,0.838524718,16
